"id";"category";"parent";"status";"description"
"1";"1000";;"inactive";"ADMINISTRATION"
"14";"1010";;"inactive";"ADVICE"
"28";"1020";;"inactive";"ARTS & CRAFTS"
"38";"1030";;"inactive";"BODY CARE"
"52";"1040";;"inactive";"BOOKS & MAGAZINES"
"57";"1050";;"inactive";"CHILDREN"
"62";"1060";;"inactive";"COMPANIONSHIP"
"69";"1070";;"inactive";"FOOD & DRINK"
"76";"1080";;"inactive";"GARDENING"
"81";"1090";;"inactive";"HOUSEHOLD"
"86";"1110";;"inactive";"DIY"
"93";"1120";;"inactive";"LANGUAGES"
"103";"1130";;"inactive";"MISCELLANEOUS"
"105";"1140";;"inactive";"PETS"
"108";"1150";;"inactive";"TUITION"
"125";"1160";;"inactive";"TRANSPORT"
"130";"1170";;"inactive";"USE OF FACILITIES"
"139";"1180";;"inactive";"FOR SALE"
"2";"1001";"1000";"active";"General Admin"
"3";"1002";"1000";"active";"Computer trouble shooting"
"4";"1003";"1000";"active";"Copywriting (short)"
"5";"1004";"1000";"active";"Form filling"
"6";"1005";"1000";"active";"Fundraising"
"7";"1006";"1000";"active";"Leaflet design"
"8";"1007";"1000";"active";"Leaflet distribution"
"9";"1008";"1000";"active";"Online research"
"10";"1009";"1000";"active";"Proofing & Editing"
"11";"1010";"1000";"active";"Research"
"12";"1011";"1000";"active";"Typing"
"13";"1012";"1000";"active";"Writing"
"147";"1013";"1000";"active";"test new admin category"
"148";"1014";"1000";"active";"Brand new admin category"
"15";"1001";"1010";"active";"Architectural building"
"16";"1002";"1010";"active";"Colour coordination"
"17";"1003";"1010";"active";"Counselling"
"18";"1004";"1010";"active";"CV - interview"
"19";"1005";"1010";"active";"Dress Design"
"20";"1006";"1010";"active";"General"
"21";"1006";"1010";"active";"Health"
"22";"1008";"1010";"active";"Legal"
"23";"1009";"1010";"active";"Marketing/PR"
"24";"1010";"1010";"active";"Nutritional"
"25";"1011";"1010";"active";"Problem solving & fun"
"26";"1012";"1010";"active";"Predictions"
"27";"1013";"1010";"active";"Psychic"
"29";"1001";"1020";"active";"Architectural drawings"
"30";"1002";"1020";"active";"Artwork"
"31";"1003";"1020";"active";"Crochet"
"32";"1004";"1020";"active";"Digital photography"
"33";"1005";"1020";"active";"Fashion illustrations"
"34";"1006";"1020";"active";"Fire Swinging"
"35";"1007";"1020";"active";"Framing - advice on"
"36";"1008";"1020";"active";"Knitting"
"37";"1009";"1020";"active";"Interior Design"
"39";"1001";"1030";"active";"Aromatherapy"
"40";"1002";"1030";"active";"Massage"
"41";"1003";"1030";"active";"Indian Head Massage"
"42";"1004";"1030";"active";"Hairdressing/cutting"
"43";"1005";"1030";"active";"Homoeopathy"
"44";"1006";"1030";"active";"Cranial-Sacral Therapy"
"45";"1007";"1030";"active";"Physiotherapy"
"46";"1008";"1030";"active";"Reflexology"
"47";"1009";"1030";"active";"Reiki"
"48";"1010";"1030";"active";"Japanese Foot Massage"
"49";"1011";"1030";"active";"Exercise Support"
"50";"1012";"1030";"active";"Mineral testing"
"51";"1013";"1030";"active";"Therapies - other"
"53";"1001";"1040";"active";"Discount Books"
"54";"1002";"1040";"active";"Holistic Science Mag"
"55";"1003";"1040";"active";"Returning library books"
"56";"1004";"1040";"active";"Subscription to Pathways"
"58";"1001";"1050";"active";"Child-minding"
"59";"1002";"1050";"active";"Babysitting / Help"
"60";"1003";"1050";"active";"Helping with Kids Parties"
"61";"1004";"1050";"active";"Music for children"
"63";"1001";"1060";"active";"Bedside Visiting"
"64";"1002";"1060";"active";"Companionship"
"65";"1003";"1060";"active";"Caring for People"
"66";"1004";"1060";"active";"Listening"
"67";"1005";"1060";"active";"Wheelchair Outings"
"68";"1006";"1060";"active";"Reading aloud"
"70";"1001";"1070";"active";"Baking"
"71";"1002";"1070";"active";"Bread"
"72";"1003";"1070";"active";"Dinner Party Help"
"73";"1004";"1070";"active";"Jam & marmalade"
"74";"1005";"1070";"active";"Party planning"
"75";"1006";"1070";"active";"Vegetarian Cooking"
"77";"1001";"1080";"active";"Allotment Share"
"78";"1002";"1080";"active";"Gardening"
"79";"1003";"1080";"active";"Hedge & tree cutting"
"80";"1004";"1080";"active";"Landscaping"
"82";"1001";"1090";"active";"Cleaning"
"83";"1002";"1090";"active";"Clearing clutter"
"84";"1003";"1090";"active";"Curtain making"
"85";"1004";"1090";"active";"Decorating"
"87";"1001";"1110";"active";"Fixing household goods"
"88";"1002";"1110";"active";"House minding"
"89";"1003";"1110";"active";"Plant care"
"90";"1004";"1110";"active";"Sewing /Mending /Alterations"
"91";"1005";"1110";"active";"Waiting in for Trades"
"92";"1006";"1110";"active";"Window Cleaning"
"94";"1001";"1120";"active";"Dutch"
"95";"1002";"1120";"active";"English"
"96";"1003";"1120";"active";"German"
"97";"1004";"1120";"active";"French"
"98";"1005";"1120";"active";"Hebrew"
"99";"1006";"1120";"active";"Japanese"
"100";"1007";"1120";"active";"Latin"
"101";"1008";"1120";"active";"Russian"
"102";"1009";"1120";"active";"Spanish"
"104";"1001";"1130";"active";"Nature reserves in Camden"
"106";"1001";"1140";"active";"Pet Care"
"107";"1002";"1140";"active";"Dog training"
"109";"1001";"1150";"active";"Acting"
"110";"1002";"1150";"active";"Alexander Technique"
"111";"1003";"1150";"active";"Ballet"
"112";"1004";"1150";"active";"Bates Method"
"113";"1005";"1150";"active";"Belly Dancing"
"114";"1006";"1150";"active";"Bread making"
"115";"1008";"1150";"active";"Gardening lessons"
"116";"1009";"1150";"active";"Computing"
"117";"1011";"1150";"active";"Maths"
"118";"1012";"1150";"active";"Mosaic design"
"119";"1013";"1150";"active";"Singing"
"120";"1014";"1150";"active";"Stretch class"
"121";"1015";"1150";"active";"Swimming"
"122";"1016";"1150";"active";"Tennis"
"123";"1017";"1150";"active";"Voice"
"124";"1018";"1150";"active";"Yoga"
"126";"1001";"1160";"active";"Bicycle repair"
"127";"1002";"1160";"active";"Driving & Lifts"
"128";"1003";"1160";"active";"Shopping"
"129";"1004";"1160";"active";"Driving skills"
"131";"1001";"1170";"active";"Accommodation"
"132";"1002";"1170";"active";"Clothes rail for hire"
"133";"1003";"1170";"active";"Internet access"
"134";"1004";"1170";"active";"Meeting Space"
"135";"1005";"1170";"active";"Publicity"
"136";"1006";"1170";"active";"CD copying - Scanning"
"137";"1007";"1170";"active";"Tool hire"
"138";"1008";"1170";"active";"Use of Washing Machine"
"140";"1001";"1180";"active";"Children's bikes"
"141";"1002";"1180";"active";"Harmonium"
"142";"1003";"1180";"active";"Indoor plants"
"149";;"1070";"active";"Garden Party"
